Linha,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
945,7,6,6,4,3,5,7,7,6,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9
824,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
825,6,6,4,0,4,6,6,6,6,6,6,6,6,6,6,0,0,0,0,0,0,0,0,0
946,19,20,19,19,17,16,19,23,25,24,24,24,24,24,24,24,26,25,25,25,25,25,25,24
947,7,7,7,3,3,5,7,7,6,7,7,6,5,5,5,5,6,6,6,6,6,6,6,6
826,1,1,1,0,0,1,3,3,3,3,1,1,1,1,1,0,0,0,0,0,0,0,0,0
829,4,3,3,3,4,4,5,6,6,6,6,6,5,5,6,5,6,6,6,6,6,6,6,5
709,3,2,2,2,2,6,7,7,8,9,7,10,8,8,8,9,8,8,8,8,8,5,6,6
2111,5,3,3,2,4,12,18,19,19,18,15,13,13,12,10,13,17,17,18,19,16,10,8,5
2110,0,0,0,0,0,3,8,10,9,8,4,2,1,1,4,6,11,13,12,15,11,4,1,0
SV669,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
950,8,8,6,4,1,1,5,6,6,6,7,6,6,6,6,6,6,6,6,6,6,6,6,5
2346,7,7,7,5,1,1,8,8,9,9,9,9,8,8,8,8,8,8,8,8,8,8,8,8
830,9,9,9,0,4,6,6,6,6,6,6,5,7,6,7,0,0,0,0,0,0,0,0,0
2345,19,20,21,20,18,19,20,20,20,19,20,21,21,21,21,21,21,20,20,21,21,20,18,19
951,6,6,6,4,2,2,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,6,6
2344,19,19,18,17,18,18,19,19,19,19,18,18,18,18,18,18,18,17,18,17,16,16,16,17
711,26,26,26,26,25,26,26,28,29,30,30,30,30,29,30,30,30,30,30,32,32,32,32,31
2343,20,20,20,20,19,20,20,20,20,20,20,20,20,20,20,20,20,19,19,20,20,20,20,19
2101,1,2,2,2,2,2,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
712,12,8,8,8,10,12,12,14,15,17,16,18,16,18,18,18,16,14,14,15,17,19,17,18
